Tarih,PM10,SO2,CO,NO2,NOX,NO,O3
04/10/2020 11:00:56,57.05118,3.755745,1213.797,14.61905,23.40012,8.781075,
04/10/2020 10:00:56,67.0723,29.58014,1290.016,18.69571,28.574773,9.87906,
04/10/2020 09:00:56,70.85267,69.78394,1470.298,24.60197,34.407159,9.805186,
04/10/2020 08:00:56,74.04356,93.97105,1460.598,29.15199,38.393475,9.241482,
04/10/2020 07:00:56,65.78243,224.0034,1654.812,48.25562,60.940911,12.68529,
04/10/2020 06:00:56,61.14268,146.3851,1602.183,32.72831,40.743353,8.015043,
04/10/2020 05:00:56,65.70377,91.99789,1316.508,24.25851,32.275926,8.017417,
04/10/2020 04:00:56,68.93546,73.15655,1246.935,23.02108,31.298781,8.277705,
04/10/2020 03:00:56,84.40752,78.95235,1350.95,23.71371,32.346392,8.632677,
04/10/2020 02:00:56,101.8015,129.838,1905.856,31.72143,41.457983,9.736551,
04/10/2020 01:00:56,99.07021,190.9871,2682.352,42.32378,53.805832,11.48205,
04/10/2020 00:00:56,81.87103,123.0705,2763.813,35.49052,47.735092,12.24457,
04/09/2020 23:00:56,60.09307,158.5897,3458.671,44.13449,58.264691,14.1302,
04/09/2020 22:00:56,45.55883,74.19517,3409.412,23.74755,36.641788,12.89424,
04/09/2020 21:00:56,41.26185,40.48394,4004.028,21.46309,35.947823,14.48473,
04/09/2020 20:00:56,36.50901,29.31282,4240.329,20.24815,36.248627,16.00048,
04/09/2020 19:00:56,31.48658,19.88013,4156.995,18.50603,34.987597,16.48157,
04/09/2020 18:00:56,26.01795,16.80424,4120.05,17.38486,33.87715,16.49228,
04/09/2020 17:00:56,23.29304,15.09714,3762.141,16.08284,31.708741,15.6259,
04/09/2020 16:00:56,20.87746,11.88993,2824.141,14.61778,28.380697,13.76291,
04/09/2020 14:00:56,27.8954,5.744669,,11.49765,21.712536,10.21488,
04/09/2020 13:00:56,30.38204,3.094199,,10.11279,19.065293,8.952499,
04/09/2020 12:00:56,31.54891,3.399605,,9.616428,17.95217,8.335742,
04/09/2020 11:00:56,28.18648,2.95665,,10.35017,18.191876,7.841705,
