PM10,SO2,CO,NO2,HKIsonuc
53.13,84.91,942.52,48.66,2
63.65,120.55,1258.61,58.65,1
69.49,104.17,733.55,56.13,1
57.08,70.46,368.68,39.99,2
56.46,98.32,451.08,48.03,2
36.05,36.58,510.75,37.14,1
60.83,101.66,785.04,55.05,2
66.73,97.47,776.84,49.21,2
31.61,49.02,665.43,33.7,1
46.51,56.31,916.44,35.42,0
43.49,83.51,426.91,41.3,2
68.01,155.83,482.24,66.89,1
74.27,102.54,1029.87,61.73,2
81.13,105.34,1244.24,66.56,1
82.65,107.35,437.95,67.0,0
86.92,67.61,573.92,60.58,1
63.50433048433049,73.62749999999997,960.2302424242415,32.453860294117646,2
63.50433048433049,73.62749999999997,960.2302424242415,32.453860294117646,2
63.50433048433049,73.62749999999997,960.2302424242415,32.453860294117646,2
88.34,21.19,541.29,46.99,2
63.50433048433049,73.62749999999997,960.2302424242415,32.453860294117646,2
63.50433048433049,73.62749999999997,960.2302424242415,32.453860294117646,2
63.50433048433049,73.62749999999997,960.2302424242415,32.453860294117646,2
47.07,18.76,635.82,40.3,1
63.50433048433049,11.91,1428.26,25.16,1
63.50433048433049,14.73,741.28,31.22,1
63.50433048433049,10.53,772.89,32.453860294117646,1
63.50433048433049,23.41,966.62,32.453860294117646,0
39.44,28.46,532.97,37.97,1
49.49,28.23,708.15,44.04,1
44.89,27.99,743.07,42.47,1
41.27,35.6,365.37,42.75,1
47.18,38.32,1088.27,47.78,0
58.11,25.85,968.83,32.453860294117646,1
67.29,32.52,694.29,32.453860294117646,2
48.75,30.94,1101.37,39.57,1
43.92,17.45,1188.07,32.453860294117646,1
52.16,73.62749999999997,960.2302424242415,32.453860294117646,2
70.06,73.62749999999997,1163.94,32.453860294117646,2
80.49,73.62749999999997,583.36,32.453860294117646,2
71.91,73.62749999999997,953.26,32.453860294117646,2
56.72,15.36,1102.25,25.6,1
63.50433048433049,73.62749999999997,960.2302424242415,32.453860294117646,2
63.50433048433049,73.62749999999997,960.2302424242415,32.453860294117646,2
30.34,13.32,877.48,13.3,1
39.53,28.67,761.64,32.453860294117646,1
53.98,35.16,822.6,20.22,1
76.84,24.09,777.0,16.93,2
58.4,31.52,924.7,32.453860294117646,1
46.48,24.54,955.9,32.453860294117646,1
52.62,17.65,1033.59,32.453860294117646,1
47.8,16.57,829.17,32.453860294117646,1
52.85,20.2,915.9,32.453860294117646,1
39.87,19.44,844.03,32.453860294117646,1
31.97,24.97,724.49,32.453860294117646,1
34.32,22.7,1028.96,32.453860294117646,1
36.32,18.93,1217.94,32.453860294117646,1
36.99,16.57,1038.16,32.453860294117646,1
39.49,26.64,660.63,32.453860294117646,1
47.07,24.53,917.4,32.453860294117646,1
39.77,14.38,1194.11,32.453860294117646,1
42.85,21.13,1163.01,32.453860294117646,1
46.37,20.89,1126.93,32.453860294117646,1
50.0,15.48,785.43,32.453860294117646,1
54.39,16.51,1127.02,32.453860294117646,1
39.89,15.49,1044.62,32.453860294117646,1
46.34,16.28,1012.75,32.453860294117646,1
44.18,15.41,931.05,32.453860294117646,1
48.07,12.36,1338.07,32.453860294117646,1
42.91,21.96,1204.65,32.453860294117646,1
38.21,16.53,960.2302424242415,22.21,1
44.76,22.13,960.2302424242415,26.42,1
45.92,21.29,2864.78,24.22,1
46.24,28.83,2639.28,29.14,1
61.27,52.62,2566.26,54.12,2
63.50433048433049,73.62749999999997,960.2302424242415,32.453860294117646,2
46.84,12.42,1636.43,32.453860294117646,1
45.57,15.36,855.55,32.453860294117646,1
43.34,15.76,445.26,32.453860294117646,1
47.89,19.97,882.89,32.453860294117646,1
42.97,38.13,700.46,32.453860294117646,1
38.64,45.89,802.55,17.58,1
38.93,27.0,885.17,17.61,1
50.78,39.44,1185.18,37.75,0
49.44,22.67,637.35,33.05,1
42.05,19.79,745.23,22.19,1
39.74,19.98,520.68,16.83,1
39.54,38.38,528.26,22.53,1
48.88,29.37,702.25,32.453860294117646,1
45.14,18.13,805.62,32.453860294117646,1
55.14,14.13,784.04,32.453860294117646,1
27.73,10.16,960.2302424242415,32.453860294117646,1
29.67,13.14,803.16,32.453860294117646,1
38.92,34.83,820.85,32.453860294117646,1
47.59,23.55,942.59,32.453860294117646,1
46.55,41.17,721.43,32.453860294117646,1
34.8,22.69,992.11,32.453860294117646,1
31.86,13.06,1094.72,32.453860294117646,1
30.47,19.72,632.41,32.453860294117646,1
36.97,23.57,610.94,32.453860294117646,1
37.51,13.39,1024.51,32.453860294117646,1
37.19,13.23,656.09,32.453860294117646,1
50.07,29.19,393.42,32.453860294117646,0
43.95,10.58,722.29,32.453860294117646,1
35.18,13.42,903.57,32.453860294117646,1
37.79,18.84,1033.18,32.453860294117646,1
30.87,18.75,692.73,32.453860294117646,1
36.35,18.77,1147.75,32.453860294117646,1
34.41,18.41,937.96,32.453860294117646,1
45.62,18.74,763.94,32.453860294117646,1
54.26,18.88,681.19,32.453860294117646,1
38.4,18.39,550.77,32.453860294117646,1
47.26,18.9,502.79,32.453860294117646,1
41.5,18.21,778.11,32.453860294117646,1
38.03,18.16,464.31,32.453860294117646,1
49.92,18.73,686.02,32.453860294117646,1
32.33,17.32,826.35,32.453860294117646,1
33.02,17.66,921.41,32.453860294117646,1
35.39,17.7,921.46,32.453860294117646,1
38.93,17.93,1005.36,32.453860294117646,1
37.65,18.09,603.21,32.453860294117646,1
39.69,17.95,667.12,32.453860294117646,1
36.68,18.04,951.69,32.453860294117646,1
37.0,18.02,789.83,32.453860294117646,1
37.38,18.08,860.36,32.453860294117646,1
38.63,18.37,566.57,32.453860294117646,1
44.58,18.27,979.69,32.453860294117646,1
51.87,18.76,1131.18,32.453860294117646,1
34.8,22.1,698.13,32.453860294117646,1
34.71,73.62749999999997,960.2302424242415,32.453860294117646,1
37.03,73.62749999999997,924.82,32.453860294117646,1
35.27,23.42,1221.34,32.453860294117646,1
43.82,24.22,1075.34,32.453860294117646,1
50.67,19.16,608.62,32.453860294117646,0
59.9,12.6,892.29,24.42,1
67.49,13.06,645.77,29.63,1
55.61,12.69,803.26,27.79,1
59.45,12.24,556.98,31.35,1
46.35,11.57,690.02,29.73,1
41.42,10.58,790.88,33.06,1
